species,genus,family,order,classification,geo_distribution,genbank_total,marker_coi,marker_cytb,marker_12s,marker_16s,marker_nadh2,marker_its2,marker_mitogenome,marker_bold_coi,geo_distribution_obs
Hypanus berthalutzae,Hypanus,Dasyatidae,Myliobatiformes,ray,endemic,115,23,23,23,23,23,,23,,Endemic
Hypanus dipterurus,Hypanus,Dasyatidae,Myliobatiformes,ray,Latin America,2,2,,,,,,,5,Endemic (Mexico Pacific + Peru)
Hypanus guttatus,Hypanus,Dasyatidae,Myliobatiformes,ray,Latin America,123,119,1,1,1,1,,1,70,Endemic (Mexico Atlantic + Venezuela)
Isogomphodon oxyrhynchus,Isogomphodon,Carcharhinidae,Carcharhiniformes,shark,endemic,17,2,,2,2,1,10,,2,Endemic
Isurus oxyrinchus,Isurus,Alopiidae,Lamniformes,shark,wide-range,246,208,11,7,6,9,5,5,219,cosmopolita
Isurus paucus,Isurus,Alopiidae,Lamniformes,shark,wide-range,61,49,1,4,4,2,1,1,54,cosmopolita
Mobula thurstoni,Mobula,Myliobatidae,Myliobatiformes,ray,wide-range,63,44,4,1,1,13,,3,43,cosmopolita
Mustelus canis,Mustelus,Triakidae,Carcharhiniformes,shark,wide-range,41,37,1,1,1,1,,1,35,"Sul dos EUA Atlantico, Sul da America do Sul, America Central Atlantico"
Mustelus higmani,Mustelus,Triakidae,Carcharhiniformes,shark,Latin America,3,1,,1,1,,,,1,América Latina
Myliobatis freminvillei,Myliobatis,Myliobatidae,Myliobatiformes,ray,wide-range,38,34,1,1,1,1,,1,30,EUA atlantico + America do Sul Atlantico
Myliobatis goodei,Myliobatis,Myliobatidae,Myliobatiformes,ray,wide-range,15,15,,,,,,,16,"Sul dos EUA Atlantico, Sul da America do Sul, America Central Atlantico"
Narcine brasiliensis,Narcine,Narcinidae,Torpediniformes,ray,endemic,21,14,2,1,1,1,2,1,16,Endemic
Paratrygon aiereba,Paratrygon,Potamotrygonidae,Myliobatiformes,ray,endemic,143,74,69,,,,,,74,Endemic
Potamotrygon motoro,Potamotrygon,Potamotrygonidae,Myliobatiformes,ray,endemic,186,107,75,2,1,1,,1,95,Endemic
Prionace glauca,Prionace,Carcharhinidae,Carcharhiniformes,shark,wide-range,1095,858,102,8,11,111,5,2,745,cosmopolita
Pristis perotteti,old name for "Pristis pristis",,,,,24,,1,,,1,,,,
Pristis pristis,Pristis,Pristidae,Rhinopristiformes,ray,wide-range,,17,2,1,1,1,,1,27,todos os continentes mas nao chega a ser cosmopolita
Pseudobatos horkelii,Pseudobatos,Rhinobatidae,Rhinopristiformes,ray,endemic,54,24,,,1,,,,10,Endemic
Rhinobatos horkelii,old name for "Pseudobatos horkelii",,,,,,28,,,1,,,,,
Pseudobatos percellens,Pseudobatos,Rhinobatidae,Rhinopristiformes,ray,endemic,57,41,,,,,,,7,Endemic
Rhinobatos percellens,old name for "Pseudobatos percellens",,,,,,15,,,1,,,,,
Rhinoptera bonasus,Rhinoptera,Myliobatidae,Myliobatiformes,ray,wide-range,51,45,2,1,1,2,,1,43,"Sul dos EUA Atlantico, Sul da America do Sul, America Central Atlantico"
Rhinoptera brasiliensis,Rhinoptera,Myliobatidae,Myliobatiformes,ray,wide-range,57,52,1,1,1,1,,1,51,"Sul dos EUA Atlantico, Sul da America do Sul, America Central Atlantico"
Rhizoprionodon lalandii,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,shark,Latin America,69,65,,1,1,1,1,,60,América Latina
Rhizoprionodon porosus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,shark,Latin America,177,166,5,1,1,1,3,,68,América Latina
Rhizoprionodon terraenovae,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,shark,wide-range,6,4,,,,,2,,59,Endemic (atlantic mexico + sul dos eua)
Rioraja agassizii,Rioraja,Arhynchobatidae,Rajiformes,ray,endemic,42,42,,,,1,,,44,Endemic
Sphyrna lewini,Sphyrna,Carcharhinidae,Carcharhiniformes,shark,wide-range,748,600,4,6,8,121,9,1,607,cosmopolita
Sphyrna mokarran,Sphyrna,Carcharhinidae,Carcharhiniformes,shark,wide-range,89,75,3,4,3,2,2,1,78,cosmopolita
Sphyrna tiburo,Sphyrna,Carcharhinidae,Carcharhiniformes,shark,wide-range,85,67,2,6,6,2,2,1,66,"Sul dos EUA Atlantico, Sul da America do Sul, America Central Atlantico"
Sphyrna tudes,Sphyrna,Carcharhinidae,Carcharhiniformes,shark,Latin America,33,20,2,4,4,1,2,,23,América Latina
Sphyrna zygaena,Sphyrna,Carcharhinidae,Carcharhiniformes,shark,wide-range,224,140,4,5,4,67,4,4,161,cosmopolita
Squalus cubensis,Squalus,Squalidae,Squaliformes,shark,wide-range,25,3,1,1,1,17,2,1,108,"Sul dos EUA Atlantico, Sul da America do Sul, America Central Atlantico"
Squalus mitsukurii,Squalus,Squalidae,Squaliformes,shark,"não aplicável, excluir do gráfico C",62,23,1,4,3,31,,1,69,Endemic (Japão)
Squatina guggenheim,Squatina,Squatinidae,Squatiniformes,shark,endemic,181,100,81,,,,78,,104,Endemic
Squatina occulta,Squatina,Squatinidae,Squatiniformes,shark,endemic,8,8,,,,,,,8,Endemic
Styracura schmardae,Styracura,Potamotrygonidae,Myliobatiformes,ray,endemic,6,2,3,,,1,,,2,Endemic
Zapteryx brevirostris,Zapteryx,Rhinobatidae,Rhinopristiformes,ray,endemic,13,12,,,1,,,,11,Endemic
