"ordering","paper","publication_date","city","state","region","trade_type","market_label","sampling_date","market_sector","capturing_sector","species_id","genus","family","order","superorder","elasmobranchii_or_teleostei","dna_technique","dna_analysis","gene","iucn_redlist_(paper_status)","iucn_redlist_(updated_status)","redbook_status_(445/2014)","redbook_status_(148/2022)","cites_listed_species","mislabel(in53)","endemic_species","ps"
"A0024","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0025","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0026","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0027","Almeron-Souza et al. 2018","2018","Torres","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Pseudobatos horkelii","Pseudobatos","Rhinobatidae","Rhinopristiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0028","Almeron-Souza et al. 2018","2018","Torres","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Pseudobatos horkelii","Pseudobatos","Rhinobatidae","Rhinopristiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","CR","CR","CR","CR","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0029","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Rajiformes sp.","NA","NA","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","NA","NA","NA","NA","no","no","no","mesmo por ML phylogeny tree o COI não conseguiu identificar... (por erro da base de dados)"
"A0030","Almeron-Souza et al. 2018","2018","Araranguí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Rhizoprionodon lalandii","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","VU","NT","NA","no","no","no","NA"
"A0031","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Rhizoprionodon lalandii","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","VU","NT","NA","no","no","no","NA"
"A0032","Almeron-Souza et al. 2018","2018","Imbé","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Rhizoprionodon lalandii","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","VU","NT","NA","no","no","no","NA"
"A0033","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Rhizoprionodon lalandii","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","VU","NT","NA","no","no","no","NA"
"A0034","Almeron-Souza et al. 2018","2018","Florianópolis","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Rhizoprionodon porosus","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","LC","VU","DD","NA","no","no","no","NA"
"A0035","Almeron-Souza et al. 2018","2018","Tramandaí","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0036","Almeron-Souza et al. 2018","2018","Tramandaí","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0037","Almeron-Souza et al. 2018","2018","Arroio do Sal","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0038","Almeron-Souza et al. 2018","2018","Tramandaí","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0039","Almeron-Souza et al. 2018","2018","Rio Grande","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0040","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0041","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0042","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0043","Almeron-Souza et al. 2018","2018","Passo de Torres","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0044","Almeron-Souza et al. 2018","2018","Passo de Torres","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0045","Almeron-Souza et al. 2018","2018","Passo de Torres","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0046","Almeron-Souza et al. 2018","2018","Passo de Torres","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0047","Almeron-Souza et al. 2018","2018","Florianópolis","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0048","Almeron-Souza et al. 2018","2018","Florianópolis","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna lewini","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","Appendix II","no","no","NA"
"A0049","Almeron-Souza et al. 2018","2018","Florianópolis","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0050","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Sphyrna zygaena","Sphyrna","Sphyrnidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","VU","VU","CR","CR","Appendix II","no","no","NA"
"A0051","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Squalus cubensis","Squalus","Squalidae","Squaliformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","LC","DD","NA","no","no","no","NA"
"A0052","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Squalus mitsukurii","Squalus","Squalidae","Squaliformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","EN","DD","NA","no","no","no","NA"
"A0053","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Squalus mitsukurii","Squalus","Squalidae","Squaliformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","EN","DD","NA","no","no","no","NA"
"A0054","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Squatina guggenheim","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","EN","DD","DD","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0055","Almeron-Souza et al. 2018","2018","Rio Grande","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Squatina occulta","Squatina","Squatinidae","Squatiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","EN","CR","CR","CR","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0056","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI","LC","LC","NT","NA","no","no","no","NA"
"A0057","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI","LC","LC","NT","NA","no","no","no","NA"
"A0058","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI","LC","LC","NT","NA","no","no","no","NA"
"A0059","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI","LC","LC","NT","NA","no","no","no","NA"
"A0060","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI","LC","LC","NT","NA","no","no","no","NA"
"A0061","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Xiphias gladius","Xiphias","Xiphiidae","Istiophoriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI","LC","LC","NT","NA","no","no","no","NA"
"A0062","Almeron-Souza et al. 2018","2018","Passo de Torres","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Zapteryx brevirostris","Zapteryx","Trygonorrhinidae","Rhinopristiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","VU","EN","VU","VU","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0063","Almeron-Souza et al. 2018","2018","Passo de Torres","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Zapteryx brevirostris","Zapteryx","Trygonorrhinidae","Rhinopristiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","VU","EN","VU","VU","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0064","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43249.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0065","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43275.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0066","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43365.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0067","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43365.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0068","Alvarenga et al. 2021","2021","Niterói","Rio de Janeiro","Southeast","ray","Ray","43410.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0069","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43506.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0070","Alvarenga et al. 2021","2021","Saquarema","Rio de Janeiro","Southeast","ray","Ray","43508.0","restaurant","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0071","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43513.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0072","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43540.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0073","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43540.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0074","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43546.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0075","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","ray","Ray","43546.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0076","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43546.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0077","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43546.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0078","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43546.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0079","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43546.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0080","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43546.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0081","Alvarenga et al. 2021","2021","Rio de Janeiro","Rio de Janeiro","Southeast","guitarfish","guitarfish","43546.0","fish market","NA","Atlantoraja castelnaui","Atlantoraja","Arhynchobatidae","Rajiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI andCytB","CR","CR","EN","EN","no","yes","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
